;;;;;;;;;;;;;x
DIM_cultuurgebied_oost_sumatra_title;Cultuurgebied Oost-Sumatra;;;;;;;;;;;;;x
DIM_cultuurgebied_oost_sumatra_desc;Recent exploration of alluvial lowlands on the north east coast of Sumatra has revealed some of the most fertile lands in the archipelago. Fed by the run off of the volcanic highlands, the black soil is eminently suited to any number of crops, but the one particularly peaking the interest of planters is tobacco. They are asking us to open up the region to private investment and take a laissez-faire approach to economic development of the region.;;;;;;;;;;;;;x
DIM_koelie_contracten_title;Koelie Contracten;;;;;;;;;;;;;x
DIM_koelie_contracten_desc;While the alluvial lowlands might provide some extremely fertile soil for our cash crops, they have never attracted a large population to settle there. Even today, the plentiful employment opportunities fail to attract sufficient labourers, hampering economic development in the region. Importing contract labourers, coolies, from Java, China and India might help alleviate the labour shortages, and strengthen our economic development there. Our colony in Guyana might also benefit from such an arrangement.;;;;;;;;;;;;;x
DIM_koelie_ordonnantie_title;The Koelie Ordonnantie;;;;;;;;;;;;;x
DIM_koelie_ordonnantie_desc;For years we have been importing coolies, contract labourers, to work the plantations around Medan. However the local planters have not been satisfied with the labourers, claiming them to be lazy and unmotivated. Furthermore, the coolies do not seem to grasp the obligations placed on them by the contract. They will often leave the plantations without permission for unspecified amounts of time, sometimes never to return.\nThe planters are asking us to reform the judicial system, granting them extensive rights to discipline their labourers, and combat any perceived offence, in any way they deem fit.;;;;;;;;;;;;;x
DIM_colonial_question;The Koloniale Kwestie;;;;;;;;;;;;;x
DIM_colonial_question_event_desc;'A weighty responsibility lies on the people blessed with such history as ours. Contemporaries and progeny might rightfully question, what we, sons of such a dearly bought freedom, have done with this freedom? Can we, after three centuries, with a clean concious and our heads held high answer: We are worthy descendants of such heroes? Is it but lies and slander that we exploit the Javanese?\n[...]\nThe Cultuurstelsel has made our country the disgrace of the world. We have surrendered the honour of being a civilised nation: for even the Spanish did not treat our forefathers so unchristian.'\nThat a moral nation pur sang like ours, which does not rely on brute force but moral superiority in international politics, should allow for her subjects to be exploited, has started to create a feeling of unease in society.;;;;;;;;;;;;;x
DIM_colonial_question_desc;Elements of society are unhappy about our current colonial policies.;;;;;;;;;;;;;x
DIM_abandon_spices_title;End the Spice Monopoly;;;;;;;;;;;;;x
DIM_abandon_spices_desc;A remand of the VOC period, the islanders on the Moluccans are required to deliver a predefined amount of spices (nutmeg and cloves in particular) each year, and are not allowed to trade with outside powers. Like the Cultuurstelsel, the Liberals consider it a distortion of the free market and a form of colonial oppression. Abandoning it will satisfy them.;;;;;;;;;;;;;x
DIM_landverhuurstelsel_title;The Landverhuurstelsel;;;;;;;;;;;;;x
DIM_landverhuurstelsel_desc;Now the Dutch have established a full plantation system on Java, they are pressuring us to institute a plantation economy as well. More specifically, they are asking us to open up our lands to European exploitation. The plan as proposed will see us lease our lands to European planters, who will run, finance and organise the plantations, in exchange we will receive a share of the proceeds.;;;;;;;;;;;;;x
DIM_landverhuurstelsel_aban_title;Abandon the Landverhuurstelsel?;;;;;;;;;;;;;x
DIM_landverhuurstelsel_aban_desc;Now we've freed ourself from Dutch joke, we should reconsider our economic relations with them as well. As the Landverhuurstelsel was imposed on us, and is highly unpopular among the populace, we should start there.;;;;;;;;;;;;;x
DIM_cultuurstelsel_landverhuur_title;Landverhuurstelsel in $PROVINCENAME$;;;;;;;;;;;;;x
DIM_cultuurstelsel_landverhuur_desc;Our citizens in $PROVINCENAME$ have been enjoying extraterritorial rights to run plantations, in exchange for part of the proceeds. As we now have taken full control of $PROVINCENAME$, this system has become superfluous. We should replace this system with our current economic policy.;;;;;;;;;;;;;x
DIM_cultuurstelsel_newconquered_title;Cultuurstelsel expands;;;;;;;;;;;;;x
DIM_cultuurstelsel_newconquered_desc;As we are integrating $PROVINCENAME$ into our colonial system, the Cultuurstelsel is also being implemented.;;;;;;;;;;;;;x
DIM_korte_verklaring_title;The Korte Verklaring;;;;;;;;;;;;;x
DIM_korte_verklaring_desc;To protect our interests in the East against foreign powers, it has become time to strengthen our rule and abolish the native states throughout the archipelago. We've writen up a 'Korte Verklaring' (Short Declaration) which all inland princes will have to sign. The gist of which puts their state under our direct control. Any refusal will give us ample reason to invade them. [Note: In game-play terms this that over the coming years all Indonesian minors will get an event requiring them to join you. Refusal on their part gives you a CB on them. Note that minors which are vassals or in other SoI will not get the event until removed from that SoI/are no longer a vassal.] ;;;;;;;;;;;;;x
DIM_korte_verklaring_accepted_title;New prince signs the Korte Verklaring;;;;;;;;;;;;;x
DIM_korte_verklaring_accepted_desc;Recentely we approached a local prince to sign the 'Korte Verklaring.' Whether for great love of our nation, because we left him no choice or something else, he has found the wisdom in himself to sign the declaration and place himself under our suzerainty.;;;;;;;;;;;;;x
DIM_korte_verklaring_rejected_title;Korte Verklaring - Rejected;;;;;;;;;;;;;x
DIM_korte_verklaring_rejected_desc;Recently we approached a local prince to sign the 'Korte Verklaring,' and place himself under our suzerainty. Unfortunately, he seems to have not grasped the gravity of the document, and has refused signing it! With our diplomatic approach failing, perhaps he will respond better to force?;;;;;;;;;;;;;x
DIM_unciv_korte_verklaring_desc;We've received a Dutch envoy carrying a message from Batavia. They require us to sign a 'Korte Verklaring' (Short Declaretion) whereby we accept their sovereignty over us. Refusing to comply may carry significant consequences.;;;;;;;;;;;;;x
DIM_kina_aanplant_title;The Cinchona Tree;;;;;;;;;;;;;x
DIM_kina_aanplant_desc;The bark of the Cinchona tree contains quinine, an important ingredient in malaria medicine. This makes the Cinchona tree invaluable to any nation pursuing an tropical venture. Currently, the tree only grows in Peru, and they guard their monopoly jealously. Increased demand over the years has led the tree to be overexploited, and the supply of this vital medicine can no longer be guaranteed. With some planning, we might be able to smuggle some plants out of Peru, and see if the plant will grow in the Indies. If it does, it will be of immense value to us.;;;;;;;;;;;;;x
DIM_kina_aanplant_failed_title;Cinchona Tree does not take hold;;;;;;;;;;;;;x
DIM_kina_aanplant_failed_desc;The Cinchona plants we smuggled out of Peru have failed to take hold in the East. It might be because they did not survive the trip, the care they received was inadequate, they were planted in the wrong location, or the Indies may very well be unsuited for the growth of the plant. Either way, without this plant it will be impossible to establish our own malaria medicine industry, and we will be subject to the whims of other powers.;;;;;;;;;;;;;x
DIM_kina_aanplant_success_title;Cinchona Tree takes hold;;;;;;;;;;;;;x
DIM_kina_aanplant_success_desc;We've successfully planted the Cinchona plants smuggled from Peru in the botanical garden at Buitenzorg. Of the 500 cuttings, only 75 survived the trip, but they provided enough cuttings to establish a viable culture. We now control our own supply of malaria medicine..;;;;;;;;;;;;;x
DIM_kina_new_species_title;New Species of Cinchona;;;;;;;;;;;;;x
DIM_kina_new_species_desc;A new species of Cinchona has been important to the Indies. This bark of this species contains a significant higher percentage of quinine (up tot 10% of the bark, instead of 3%), the active ingredient in malaria medication.;;;;;;;;;;;;;x
DIM_belgium_java_run_colony_desc;In a recent book called 'Java, or How to Manage a Colony,' the aptly named Englishman John Money offers an insight into the Dutch colonial system on Java: the Cultuurstelsel. The plantations of coffee, sugar, tobacco and indigo have provided vast wealth to both the King and country. Virtually every venture the Dutch have undertaken over the past 30 years, from the canals and railroads of Holland, to the colonial wars in the east, has been paid for by the wealth extracted from Java. Despite relying heavily on forced labour, the author seems to be of the opinion that the natives do not mind as long as they are included in the march of civilisation. Combining these factors, he is of the opinion that the Cultuurstelsel is the best way to run a colony.;;;;;;;;;;;;;x
DIM_unciv_deli_maatschappij_title;The Deli Maatschappij;;;;;;;;;;;;;x
DIM_unciv_deli_maatschappij_desc;We've been approached by a group of western investors who want to invest in the Medan area. The rich alluvial lowland plains along the north east coast of Sumatra, fed by volcanic run off from the highlands, are eminently suitable to the plantation of tobacco. The investors are seeking a long term land concession to start a tobacco plantation. They will finance, operate and organise the entire operation, all they ask from us is a signature.;;;;;;;;;;;;;x
DIM_knaud_kris_title;A Historic Kris;;;;;;;;;;;;;x
DIM_knaud_kris_desc;In South Asian culture, a kris (an asymmetrical, usually curvy, dagger) is a spiritual and sacred object. Imbued with magical powers, they are thought to be inhabited by spirits and as such are 'almost alive.' Care of krisses is subject to great ceremony and ritual. Should the owner be negligent, the Kris might kill him in his sleep. Should the owner, however, be generous, the kris will protect him and imbue him with valour.\nRecently, the crown-prince of one of our Princely States fell ill. Neither our western physicians, nor the local Dukun proved capable of helping. In a desperate move, the prince asked the renowned 'White Dukun,' a Dutchman educated in both western and indigenous medicine, for help. Finding it as a case of guna-guna, the White Dukun worked his magic and managed to cure the crown-prince. For his efforts in securing the succession, the prince awarded the White Dukun with his the most precious pusaka: an ancient kris.;;;;;;;;;;;;;x
DIM_flores_offer_title;Make an offer on Flores and Timor;;;;;;;;;;;;;x
DIM_flores_offer_desc;The Portuguese still hold sway over a small part of the East Indies: Timor and Flores. We've fought many wars over these territories, and Lisbon's presence there remains a thorn in our side. These territories had previously important outposts of Lisbon, but are by now very impoverished, and have little connection with to the Motherland. Perhaps we should approach the Portuguese to see if they are willing to sell their possessions?;;;;;;;;;;;;;x
DIM_flores_POR_offer_title;Dutch Embassy for the East Indies;;;;;;;;;;;;;x
DIM_flores_POR_offer_desc;We've received a Dutch Embassy intend on settling our territorial issues in the East Indies. Throughout history we've fought many wars for control over Flores and Timor, and have now more or less settled on the Dutch controlling western Flores and western Timor and us controlling eastern Flores and eastern Timor. The Dutch have since greatly expanded their control over the archipelago, and are extracting vast wealth from the region. Our territories on the other hand are greatly impoverished, and our control over them is limited. Selling them would not be a great loss to us, were it not for the fact that we would lose all influence in the region. Perhaps we can find a different settlement beneficial to both countries?;;;;;;;;;;;;;x
DIM_flores_offer_rej_title;Portuguese reject our offer;;;;;;;;;;;;;x
DIM_flores_offer_rej_desc;After long negotiations, the Portuguese have decided to decline our generous offer. Although intrigued by the offer, the influence provided by their possessions outweigh our offer. Though not all is lost, our diplomatic correspondence indicate Lisbon is willing to better delineate our sphere's of influence.;;;;;;;;;;;;;x
DIM_flores_offer_part_title;Portuguese accept our offer;;;;;;;;;;;;;x
DIM_flores_offer_part_desc;After long negotiations, the Portuguese have decided to propose a more limited sale. They are willing to part with their territories on Flores and Alor, but insist on keeping Dili and eastern Timor. Our diplomats indicate there is nothing we can realisticly offer to change their mind.;;;;;;;;;;;;;x
DIM_flores_offer_kupang_title;Portuguese Counteroffer;;;;;;;;;;;;;x
DIM_flores_offer_kupang_desc;Intrigued by our interest for Timor and Flores, the Portuguese have made a counter proposal. They propose to transfer their possessions on Flores and the Alor archipelago in exchange for Kupang and our influence on Timor. This would, they argue, provide a clear division of power in the region. With us on Flores, and them on Timor, there would be no future conflict in the region.;;;;;;;;;;;;;x
DIM_flores_offer_ghana_title;Portuguese Counteroffer;;;;;;;;;;;;;x
DIM_flores_offer_ghana_desc;Intrigued by our interest for Timor and Flores, the Portuguese have made a counter proposal. They agree the East Indies are peripheral to their interests, and have indicated they are willing to sell their posts there. Their price is our forts along the Goldcoast. They argue these forts are as peripheral to our interests as Timor is to theirs, and it would make sense to swap these territories: a mutually beneficial exchange.;;;;;;;;;;;;;x
DIM_flores_counter_acc_title;Dutch accept our counter offer;;;;;;;;;;;;;x
DIM_flores_counter_acc_desc;The Dutch were intrigued by our counteroffer, and have accepted after not so long deliberations.;;;;;;;;;;;;;x
DIM_flores_counter_rej_title;Dutch reject our counteroffer;;;;;;;;;;;;;x
DIM_flores_counter_rej_desc;The Dutch, while intrigued by our counteroffer, the Dutch have, after long deliberation, decided to decline our offer.;;;;;;;;;;;;;x 
DIM_flores_decline_title;Decline in the Sandalwood trade;;;;;;;;;;;;;x
DIM_flores_decline_desc;Our possessions in the East Indies rely heavily on the sandalwood trade for profitability. However, the stocks of sandalwood on $PROVINCENAME$ have now started to run out, leaving $PROVINCENAME$ without major exports.;;;;;;;;;;;;;x
DIM_flores_dili_offer_title;An offer from the Portuguese;;;;;;;;;;;;;x
DIM_flores_dili_offer_desc;The Portuguese governor at Dilli has approached our resident in Kaupeng with on offer to sell their possessions on Flores and the Alor Islands to us. Dilli already was a forgotten outpost of the Portuguese empire, its economic importance disappeared long ago. Following the depletion of the sandalwood stocks on the islands, the last pillar of the economy disappeared. Faced with an impoverished administration and no support from Lisbon, he has now turned to us for help. It is clear he is acting without consent of Lisbon, but that does not have to matter. If we are willing to upset the Portuguese, it is definitely a good deal.;;;;;;;;;;;;;x
DIM_flores_dili_sold_title;The sale of Flores;;;;;;;;;;;;;x
DIM_flores_dili_sold_desc;Our governor at Dilli has, on his own initiative, sold our possessions on Flores and the Alor islands to the Dutch! Faced with limited means at his disposal to govern the islands, confounded by the decline in the sandalwood trade, his administration had fallen on hard times. Faced with severe financial problems, he apparently felt the Dutch were his best chance of salvation. The Dutch have by now taken possession of the islands, and the whole affair is a fait accompli.;;;;;;;;;;;;;x
DIM_flores_dili_almost_sold_title;Colonial Disobedience;;;;;;;;;;;;;x
DIM_flores_dili_almost_sold_desc;Our governor at Dili has, on his own initiative, tried to sell our possessions on Flores and the Alor islands to the Dutch. Faced with limited means at his disposal to govern the islands, confounded by the decline in the sandalwood trade on the islands, his administration had fallen on hard times. Faced with severe financial problems, he apparently felt the Dutch were his best chance of salvation. The Dutch, apparently unwilling to jeopardise our relationship, have declared that they will only deal with our national government and decline the offer.;;;;;;;;;;;;;x
DIM_form_pagaruyung_title;Reform the Pagaruyung Kingdom;;;;;;;;;;;;;x
DIM_form_pagaruyung_desc;The Padri war was a civil war in the Minangkabau Pagaruyung Kingdom between the fundamentalist Padris and the more moderate Adats. The Adats called upon the Dutch to prevent the Padris from taking over the Kingdom. With the fall of Padang, Dutch influence in the Minangkabau region has been broken. Nothing will prevent us taking over the kingdom and reclaim all associated territories now.;;;;;;;;;;;;;x 
DIM_padang_lost_title;Padang Occupied;;;;;;;;;;;;;x
DIM_padang_lost_desc;The Padris have taken control of the city of Padang. As the city offers the only sizeable port in the Padang region, we can no longer continue our military operations against the Padris. With our power broken in the region, the Padris had little opposition left, and have now taken over the Pagaruyang Kingdom.;;;;;;;;;;;;;x
DIM_pasaman_lost_title;Fort de Kock fallen;;;;;;;;;;;;;x
DIM_pasaman_lost_desc;Our most important fort near Pasaman, Fort the Kock, has fallen to the Padris. Fort de Kock formed a bulwark against Padri incursions into Mandailing. Now the fort has fallen, nothing prevents Padri influence from spreading north.;;;;;;;;;;;;;x
DIM_bonjol_title;Bonjol Captured!;;;;;;;;;;;;;x
DIM_bonjol_desc;The Padri town of Bonjol has proven to be a difficult town to raze. The entire town was surrounded by an impregnable hedge of thorny bamboo, which proved to be invulnerable to artillery fire. The northern flank is furthermore protected by a large swamp, while the eastern edge was too forested to launch an assault from. On the western flank, a large hill protected the town, which proved especially difficult to approach due to it facing a ravine. The town had proven so resistant to our assaults, that some of our soldiers had simply taken up farming: they weren't going anywhere.\nHowever we finally managed to draw the Padri away from the defenses, allowing our soldiers to take a number of important positions close to the town. With pressure mounting, the Padris started to flee the city.\nWith Bonjol, capital of the Padris, in our hands, we are sure to have broken their power in the Padang Highlands.;;;;;;;;;;;;;x
DIM_padri_vict_title;The Padri War has ended;;;;;;;;;;;;;x
DIM_padri_vict_desc;The Padri war started as a religious conflict between the Islamic Padris and the moderate Adats. The Padri sect emerged when Hadji's returned from Mecca, and wanted to reform Minangkabau society along Wahabistic lines. Appalled by the prevalence of gambling and drinking among the Minangkabau people, the matrilinear nature of society did not sit well with them either. To effect change, the Padris started a campaign of violence. They are responsible for the death of two sultans, with the third sultan only barely managing to escape. To save his kingdom, and his position, he appealed to us to stop the Padris. Now we have broken the Padris, the sultan surely expects us to restore his kingdom to him.;;;;;;;;;;;;;x
DIM_padri_wrap_up_title;Padri War wrap up;;;;;;;;;;;;;x
DIM_padri_wrap_up_desc;Wrap up of the Padri war.;;;;;;;;;;;;;x
DIM_bonjol_wrap_up_title;Capture of Bonjol;;;;;;;;;;;;;x
DIM_bonjol_wrap_up_desc;We've lost Bonjol, our capital and most important fortress! Is there any way to salvage the situation?;;;;;;;;;;;;;x
DIM_padri_pasaman_title;Capture of fort de Kock!;;;;;;;;;;;;;x
DIM_padri_pasaman_desc;Fort the Kock near Pasaman was the most important check on our power to the north. With the fall of the fort, the population to the north of Pasaman will surely join us!;;;;;;;;;;;;;x
DIM_form_bali_title;Become Susuhunan of Bali;;;;;;;;;;;;;x
DIM_form_bali_desc;We are now the highest and most important kingdom among the Balinese kingdoms. Our right to rule Bali is indisputable. We should claim the ancient title of Susuhunan (king of kings) and demand the other kingdoms submit to our will!;;;;;;;;;;;;;x
DIM_form_bali_nationalism_title;Balinese Nationalism;;;;;;;;;;;;;x
DIM_form_bali_nationalism_desc;We are now the most prestigious kingdom on Bali. Greatly impressed by this, the Balinese are starting to view us as the only true king of Bali. We should exploit this!;;;;;;;;;;;;;x
DIM_form_bali_close_title;Balinese Nationalism;;;;;;;;;;;;;x
DIM_form_bali_close_desc;Bali is divided among numerous smaller kingdoms, ours is but one of them. The populace, impressed by the great prestige of one our rival kings, is starting to accept him as the only true king of Bali. If we do not put a stop to this, they might dispose you in favour of your rival!\n\nnote: all options other than 'go at it alone' will likely lead to an auto DoW on the rival kingdom.;;;;;;;;;;;;;x
DIM_bali_civil_war_title;Balinese Civil War;;;;;;;;;;;;;x
DIM_bali_civil_war_desc;Bali is an island divided among numerous minor kingdoms, each vying for control. Recently, one clear dominant kingdom has arisen. This has greatly disturbed the other kingdoms on the island. So much so that they are preparing for war. Now you've been approached by one of kings asking for military help. This might be a good chance to expand our influence on Bali.;;;;;;;;;;;;;x
DIM_form_mataram_sultanate_djokja_title;Reunite with Surakarta;;;;;;;;;;;;;x
DIM_form_mataram_sultanate_djokja_desc;Our forefathers once ruled the island of Java. Under the banner of the Mataram Sultanate we conquered all between Bali and Batavia, and were unchallenged in our power. Only internal divisions allowed the Dutch to conquer us, and divided we have remained. Perhaps we should 'join' with Surakarta again and return ourselves to the glory days!;;;;;;;;;;;;;x
DIM_form_mataram_sultanate_solo_title;Reunite with Yogyakarta;;;;;;;;;;;;;x
DIM_form_mataram_sultanate_solo_desc;Our forefathers once ruled the island of Java. Under the banner of the Mataram Sultanate we conquered all between Bali and Batavia, and were unchallenged in our power. Only internal divisions allowed the Dutch to conquer us, and divided we have remained. Perhaps we should 'join' with Yogyakarta again and return ourselves to the glory days!;;;;;;;;;;;;;x
DIM_form_mataram_sultanate_djokja_offer_title;An offer from Yogyakarta;;;;;;;;;;;;;x
DIM_form_mataram_sultanate_djokja_offer_desc;An embassy from Yogyakarta has arrived at our court with an interesting proposal. They want to return to the glory days of the Mataram Sultanate, and asked us to join them in evicting the Dutch from Java!;;;;;;;;;;;;;x
DIM_form_mataram_sultanate_solo_offer_title;An offer from Surakarta;;;;;;;;;;;;;x
DIM_form_mataram_sultanate_solo_offer_desc;An embassy from Surakarta has arrived at our court with an interesting proposal. They want to return to the glory days of the Mataram Sultanate, and asked us to join them in evicting the Dutch from Java!;;;;;;;;;;;;;x
DIM_form_mataram_sultanate_title;Claim the title of Susuhunan;;;;;;;;;;;;;x
DIM_form_mataram_sultanate_desc;We now control all our ancestral lands! We should claim the title of Susuhunan (king of kings) and re-establish the Mataram Sultanate! It is our right to rule all of Java!;;;;;;;;;;;;;x
DIM_form_mataram_sultanate_NET_title;A new Java war?;;;;;;;;;;;;;x
DIM_form_mataram_sultanate_NET_desc;The recent developments in the Princely States can only be viewed as an attack on our rule on Java. In the historical context, the division between Surakarta and Yogyakarta is purely artificial and imposed by us to break up the Mataram Sultanate. Their unification can only mean the sultans seek to restore the Mataram sultanate. We should intervene now before they manage to rebuild their strength!;;;;;;;;;;;;;x
DIM_surakarta_badad_madura_title;The Badad Madura;;;;;;;;;;;;;x
DIM_surakarta_badad_madura_desc;Madura has always been a subject state of the Mataram Sultanate, and just a few years ago these ties were reaffirmed by a truly glorious royal marriage: All of Surakarta, even the Dutch and Chinese homes, was decorated with banners, offerings, and paper lanterns. The lanterns lighted the city like a volcano ablaze, a sea of flames. After reciting the nikah, 'waves of amen poured into the courtyard,' where they were echoed by crows, drums corps and cannon salutes throughout the city. The wedding procession through the alliterative glitter of lanterns and gamelan orchestras drew the entire city into the rite. Instead of the customary wedding gift of vegetables, exquisitely crafted gold peppers and silver eggplants embellished with copper-alloy foliage constituted the 'sasrahan raja' (king's wedding gift).;;;;;;;;;;;;;x
DIM_mataram_badad_madura_title;The Badad Madura;;;;;;;;;;;;;x
DIM_mataram_badad_madura_desc;Madura has always been a subject state of Mataram, and just a few years ago these ties were reaffirmed by a royal marriage. The Madurese have nonetheless been falling under increasing Dutch sway. We ought to remind them of our combined history and reaffirm our affinal ties!;;;;;;;;;;;;;x
DIM_PLB_suppression_title;The Sultanate of Palembang;;;;;;;;;;;;;x
DIM_PLB_suppression_desc;Relations with Palembang have always been troublesome, but things have taken a turn for the worst since the English period. They had installed a new sultan, one which proved to be friendly to their interests, but not so much to ours. The confrontation (the recent Palembang expeditions) was inevitable, and so was our victory. Through these expeditions we've managed to install a sultan more favourable to our interests, but his authority outside of the city of Palembang is limited. Brigands and robbers roam the country side, and the local Heads appear unwilling or unable to control them. Our commissionaire in the sultanate has expressed his desire to take a more direct role in ruling the state, and has asked us to enter into a new contract with the sultan.;;;;;;;;;;;;;x
DIM_PLB_integration_title;Unrest in Palembang;;;;;;;;;;;;;x
DIM_PLB_integration_desc;We had hoped our recent treaty with the sultan of Palembang would have stabilised the region, and would have create a solid basis for stable relations. Alas, our hopes were in vain: the sultan has proven to extremely unreliable. He has long since stopped paying our due taxes, and it would seem he ordered the recent assassination of our commissionaire to the sultanate. But all this is irrelevant as it would appear the sultan has ordered his forces to siege our fort in Palembang. To restore order, and maintain our authority, something has to be done!;;;;;;;;;;;;;x
DIM_PLB_should_I_stay_or_should_I_go_title;Dutch Military Expedition;;;;;;;;;;;;;x
DIM_PLB_should_I_stay_or_should_I_go_desc;In responds to our recent aggressive moves against them, the Dutch have decided to outfit a military expedition to 'restore [their] order' on our lands. We can hardly defend against the Dutch might, it is time to flee!;;;;;;;;;;;;;x
DIM_PLB_flees_title;Palembang Sultan flees!;;;;;;;;;;;;;x
DIM_PLB_flees_desc;Fearing our great military might, the Sultan of Palembang has decided to flee his realm, but was captured by one of our patrols and exiled to Bangka. His father has met our forces outside of the Kraton and has surrender himself to our forces. With both possible claimants to the throne under our sway, the Sultanate of Palembang de facto ceases to exist. We can abolish the sultanate and institute direct rule.;;;;;;;;;;;;;x
DIM_NET_buitenzorg_destroyed_title;The Salak Eruption of $YEAR$;;;;;;;;;;;;;x
DIM_NET_buitenzorg_destroyed_desc;Mount Salak on Java has erupted, and the related earthquake has destroyed the Buitenzorg palace! The palace has served as capital of the Indies since the time of Raffles. And its cool mountain climate make a far more habitable place than the oppressive marsh climate of Batavia. The building, standing at three stories tall while there are only a handful of buildings taller than 1 floor in the entire archipelago, was a truly magnificent sight, and symbol of our rule in the Indies. It deserves a worthy replacement.;;;;;;;;;;;;;x
DIM_NET_buitenzorg_paleis_title;The Buitenzorg Palace;;;;;;;;;;;;;x
DIM_NET_buitenzorg_paleis_desc;The Buitenzorg Palace has served as main administrative centre for the East Indies since the middle of the 18th century, but was destroyed by an earthquake in 1834. We have finally finished rebuilding the palace. The original palace had three floors, but, as future protection against earthquakes, the new palace only has one. Of particular importance is ''s Lands Plantentuin' (the botanical gardens) surrounding the palace. Originally founded as a forest for rare species of plants during the Sunda Kingdom, they currently serve a primary research institute for the development and cultivation of new species of plants. As such, it is one of the most important institutes of tropical research in the world, and of vital importance to the plantation economy on Java.;;;;;;;;;;;;;x
DIM_NET_fortdubus_title;Fort du Bus;;;;;;;;;;;;;x
DIM_NET_fortdubus_desc;The island of New Guinea is a vast land inhabited by savages. No real exploration of the land or her people has ever been attempted, even though we hold a claim to the land through our vassal Tidore. As English explorers started appear of the Papuan coast, the need to establish a permanent settlement and safeguard our claim became apparent. Under the guise of a naturalist expedition a fortification was build on the south coast of New Guinea in 1828: Fort du Bus. The fort has fulfilled its purpose and strengthened our claim to the region.\nUnfortunately the fort proved to be less than successful. The Triton Bay has proven to a disease ridden region, and many an officer sent to the fort has fallen to malaria. And if disease does not kill the unfortunate sod sent to the fort, raiders will: Fearful of losing their trading position with the Papua's, the fort is continuously harassed by Moluccan traders. It has been suggested we'd abandon the fort.;;;;;;;;;;;;;x
DIM_NET_etna_expedition_title;The Etna Expedition;;;;;;;;;;;;;x
DIM_NET_etna_expedition_desc;Aside from the small presence at Fort du Bus, we've had no real presence on the New Guinea, and the islands remains virtually unknown to us. Scientist have long been pushing for a naturalist expedition to this unknown land. We can sent an expedition to explore the coastal regions, which might also give us insight into future locations for governmental posts. [The expedition will last approximately 8 months.];;;;;;;;;;;;;x
DIM_NET_etna_expedition_returns_title;The Etna Expedition returns;;;;;;;;;;;;;x
DIM_NET_etna_expedition_returns_desc;The expedition we've sent to explore the coast of New Guinea has returned. In the past few months they have made extensive maps of the coast of New Guinea: not only of the currents and water depths, but also of suitable locations for future posts. Invaluable information to us should we decide to expand to that vast land. On the naturalist side the expedition was less successful. A large number of hitherto unknown species of birds were discovered, and promptly killed for preservation. Aside from those samples large collection of stones and minerals was brought back. However, no grand new discoveries were made. Rather unexpectedly the expedition ran into an English naturalist called Wallace at an isolated German mission post. The man is doing research into the development of species, and claims to be on the verge of a major scientific breakthrough.;;;;;;;;;;;;;x
DIM_NET_etna_expedition_returns_success_desc;The expedition we've sent to explore the coast of New Guinea has returned. In the past few months they have made extensive maps of the coast of New Guinea: not only of the currents and water depths, but also of suitable locations for future posts. Invaluable information to us should we decide to expand to that vast land. On the naturalist side the expedition was fairly routine. A few new bird species discovered, some interesting rocks found. Nothing to get to excited about. That is untill, rather unexpectedly, the expedition ran into an English naturalist called Wallace at an isolated German mission post. The man has been travelling the archipelago to research, what he calls, the introduction of new species. Impressed by how well our expedition was outfit, he saw an opportunity for collaboration and joined the expedition. Claiming to be on the verge of a major scientific breakthrough, he has promised to give credit where credit is due.;;;;;;;;;;;;;x
DIM_NET_etna_expedition_failure_success_desc;The expedition we've sent to explore the coast of New Guinea has returned, early. The expedition had started out well, successfully mapping the currents and depth of the western part of the island, and gather a few naturalist samples. However, on one of the naturalist excursions into the forest, the expedition members disappeared! The soldiers sent into the forest after them, could not locate them. Later at night, bright fires could be seen deep in the forests, with loud noises emerging from it. We can only assume the worse...;;;;;;;;;;;;;x
DIM_DJA_invades_palembang_title;Sultan of Djambi invades Palembang;;;;;;;;;;;;;x
DIM_DJA_invades_palembang_desc;Our resident at Palembang has successfully been courting the Sultan of Djambi in the hopes of having him submit to our authority. The position of the Sultan of Djambi has never been very secure, with various factions at court vying for power. Our Resident has successfully managed to exploit this by offering our authority and resources to help him secure his position. A welcome opportunity for the beleaguered sultan. However negotiations seems to have stalled the last few months, and the sultan has taken the initiative and come to Palembang. He claims to be on a peaceful mission, but his actions seem to indicate the opposite. At the head of a column of hundreds, if not thousands, of men, he has taken owner ship of the disputed lands along the border, and is moving on Palembang. Traders have been harassed by Djambian nobles, and worse, a letter adressed to the former sultan of Palembang has been intercepted, offering to restore him. This requires immediate action!;;;;;;;;;;;;;x
DIM_DJA_sues_for_peace_title;Sultan of Djambi sues for peace!;;;;;;;;;;;;;x
DIM_DJA_sues_for_peace_desc;The sultan of Djambi has sent peace envoys to our forces. It would seem the nobles at his court have started revolting, with some refusing to supply rice to the sultan's forces. Other nobles are reported to be abusing the salt shortage caused by the war to plot against the sultan. Sufficient to say, the sultan's position has been severely weakened by this war. And he is now ready to enter into treaty with us. He has offered to place all foreign affairs under our suzerainty, as well as control over exports, in exchange for the financial resources to subdue his nobles.;;;;;;;;;;;;;x
DIM_DJA_said_mohamad_title;The Case of Said Mohamad;;;;;;;;;;;;;x
