;;;;;;;;;;;;;x
NEWS_reclaim_abbas_short;$COUNTRY$ has taken possession of the port city of Bandar Abbas after Oman fails to meet her obligations under their lease treaty. The city had been ceded to Oman in the late 18th century.;;;;;;;;;;;;x
NEWS_reclaim_abbas_medium;Changing political circumstances in the Persian Gulf region cause $COUNTRY$ to retake possession of the port city of Bandar Abbas. The city had been ceded to Oman in the late 18th century, although the treaty was renewed under more stringent terms recently.;;;;;;;;;;;;x
NEWS_reclaim_abbas_long;Changing political and economic circumstances in the Persia Gulf region cause $COUNTRY$ to retake possession of the port city of Bandar Abbas. This strategic city on the Strait of Hormuz was ceded to Oman in the late 18th century, although after the split of sultanate $COUNTRY$ managed to renegotiate the lease on more favourable terms. Oman has failed to meet these terms and the territory has reverted to $COUNTRY$.;;;;;;;;;;;;x
NEWS_EVTNAME301000_title;Rumblings in Kurdistan;;;;;;;;;;;;x
NEWS_EVTDESC301000_short;A good deal of restlessness is reported in Kurdistan as bandits and rebels assert themselves in the wake of the recent $COUNTRY_ADJ$ military defeats and subsequent power vaccum.;;;;;;;;;;;;x
NEWS_EVTDESC301000_medium;Banditry and restlessness is on the rise in Kurdistan as the recent $COUNTRY_ADJ$ military defeats. Lacking any government or authority worthy of the name, local chieftains have filled the gap and are reported to be expanding their power bases, possibly eyeing independence.;;;;;;;;;;;;x
NEWS_EVTDESC301000_long;Insurgent Kurds depredations on government outposts and towns are becoming increasingly widespread in Kurdistan. Benefiting from the recent $COUNTRY_ADJ$ military defeats, the local chieftains have been able to exploit the subsequent the lawlessness and disorder to expand their power base. Without there being anything worthy of the name $COUNTRY_ADJ$ government or authority in the border lands, it would seem independence is not far off.;;;;;;;;;;;;x
NEWS_EVTNAME301008_title;$COUNTRY$ Moves on Turkestan!;;;;;;;;;;;;x
NEWS_EVTDESC301008_short;British alarmed as $FROMCOUNTRY$ is forced to sign humiliating treaty ceding all territory and claims north of the Atreck River to $COUNTRY$.;;;;;;;;;;;;x
NEWS_EVTDESC301008_medium;The British Foreign Office has expressed its concern over the recent developments in Central Asia. In a major diplomatic victory, $COUNTRY$ has forced $FROMCOUNTRY$ to relinquish all territories and claims north of the Atreck River, bringing them to the doorstep of India.;;;;;;;;;;;;x
NEWS_EVTDESC301008_long;In a stunning diplomatic victory, the humiliated $FROMCOUNTRY_ADJ$s have been forced to relinquish all territories and claims north of the Atreck river to $COUNTRY$. A brazen move which has solidified $COUNTRY$s hold over Central Asia and brought them to the doorstep of India. The $COUNTRY_ADJ$ expansion, however, has not gone unnoticed in the British Foreign Office.;;;;;;;;;;;;x
NEWS_EVTDESC301009_short;War has only narrowly been avoided as tensions flare up between $COUNTRY$ and $FROMCOUNTRY$ over control of Central Asia.;;;;;;;;;;;;x
NEWS_EVTDESC301009_medium;In a major diplomatic victory, $COUNTRY$ has forced $FROMCOUNTRY$ to sign a humiliating treaty. Under the treaty of Akhal $FROMCOUNTRY$ relinquishes all rights and territories north of the Atreck river. The British Foreign Office has reacted with alarm.;;;;;;;;;;;;x
NEWS_EVTDESC301009_long;While the relations have been amicable, though perhaps not friendly, a confrontation between $COUNTRY_ADJ$s and $FROMCOUNTRY$ over Central Asia was all but inevitable: As $FROMCOUNTRY_ADJ$'s influence wanes in Central Asia, $COUNTRY$'s penetrates ever deeper. In an effort to clearly delineate their respective sphere's of influence, the $COUNTRY_ADJ$s proposed the Atreck River as the common border. An humiliating and unacceptable territorial concession to the $COUNTRY_ADJ$s. Only severe pressure and the threat of war, managed to change the $FROMCOUNTRY_ADJ$s mind.;;;;;;;;;;;;x
NEWS_EVTNAME301010_title;The Akhal Crisis;;;;;;;;;;;;x
NEWS_EVTDESC301010_short;Tensions flare up between $COUNTRY$ and $FROMCOUNTRY$ as negotiations to delineate the common border break down. War is all but assured.;;;;;;;;;;;;x
NEWS_EVTDESC301010_medium;Tensions are running high between $COUNTRY$ and $FROMCOUNTRY$ as negotiations to delineate the common border break down. It would seem $FROMCOUNTRY$ is defiant in the face of overwhelming $COUNTRY_ADJ$ might. It seems unlikely war can be avoided.;;;;;;;;;;;;x
NEWS_EVTDESC301010_long;While the relations have been amicable, though perhaps not friendly, a confrontation between $COUNTRY_ADJ$s and $FROMCOUNTRY$ over Central Asia was all but inevitable: As $FROMCOUNTRY_ADJ$'s influence wanes in Central Asia, $COUNTRY$'s penetrates ever deeper. In an effort to clearly delineate their respective sphere's of influence, the $COUNTRY_ADJ$s proposed the Atreck River as the common border. An humiliating and unacceptable territorial concession to the $COUNTRY_ADJ$s. With no agreement forthcoming the matter will have to be settled on the field of battle.;;;;;;;;;;;;x
NEWS_EVTNAME301011_title;The New Emir of Kabul;;;;;;;;;;;;x
NEWS_EVTDESC301011_short;The Durrani Empire is no more. Torn down by internal strive. Today a new Emir took control of Kabul. Whether he'll succeed in reuniting the tribes is yet to be seen.;;;;;;;;;;;;x
NEWS_EVTDESC301011_medium;The Durrani Empire is no more. Maybe it never really was. Torn down by tribal rivalries and petty disputes. A new Emir emerged and took control in Kabul today, whether he'll succeed in reuniting the tribes is yet to be seen.;;;;;;;;;;;;x
NEWS_EVTDESC301011_long;The Durrani Empire is no more. Maybe it never was. The tribal nature of the Afghan people is be independent and resist outside domination. Uniting the tribes into one Empire was itself a miracle of balancing tribal alliances and hostilities, relying on directing tribal energies away from rebellion. Lacking the gift of diplomacy, the recent Durrani Shahs have allowed tribal rivalries to resurface and slowly the empire started disintegrating. Today a new Emir has taken control of Kabul. Whether he'll succeed in reuniting the tribes is yet to be seen.;;;;;;;;;;;;x
EVTNEWS301100_title;The Moroccan Jewess;;;;;;;;;;;;x
EVTNEWS301100_short;The righteous or the holy she is called, Sol Hachuel. Rather than renounce the Law of Moses, the young lady chose death. Her steadfastness winning over many devotees, among Jews as Moors.;;;;;;;;;;;;x
EVTNEWS301100_medium;Condemned to death for apostasy from Islam by the Sultan of Fez. Rather than renounce the Law of Moses, the girl defiantly proclaimed "A Jewess I was born, a Jewess I wish to die," even when faced with her executioner. Her devotion winning over many, both Jew as Moor.;;;;;;;;;;;;x
EVTNEWS301100_long;Condemned to death for apostasy from Islam by the Sultan of Fez. Rather than renounce the Law of Moses, the girl defiantly proclaimed "A Jewess I was born, a Jewess I wish to die," even when faced with her executioner. Her beauty, her devotion, her steadfastness is face of death, all have caused her to be viewed as both a heroin and a martyr. But not just by her people, but even by the Mohammedans. So great was the impression she made that even the Sultan's own son offered to marry her, and be showed in gold and silks, if only she accepted conversion.;;;;;;;;;;;;x
EVTNEWS300980_short;Today the last of the Bukey sultans has died, leaving the Bukey Horde to revert to its suzerain the $COUNTRY$;;;;;;;;;;;;x
EVTNEWS300980_medium;The Asian Steppes have a long history of migrations of nomadic peoples. During one of these migrations the Bukey Horde was established on the depopulated lands between the Ural and Volga river. As the last Khan of the horde dies the territory reverts back to Russia.;;;;;;;;;;;;x
EVTNEWS300980_long;The Central Asian Steppes have long witnessed periodic migrations of the steppe peoples. In 1801 during one such migrations an an offshoot of the Little Juz crossed into Russian territory, and was allowed to settle the depopulated lands between the Volga and Ural rivers. Today Zhangir Khan, the last Khan of the this horde, died, and the lands reverted to Russian rule.;;;;;;;;;;;;x
