;;;;;;;;;;;;;x
EVTDESC190342;The Shah has died today aged 62. Famous for his long beard, his wasp-like waist and his progeny. He is said to have bedded well over 1000 women and is survived by fifty-seven sons and forty-six daughters, along with 296 grandsons and 292 granddaughters. Fath-Ali was a vigorous, manly and highly intelligent man, but succumbed to decadence, indolence and avarice later in life. [He is succeeded by Abbas Mirza or - if his death event fired - Abbas Mirza's son Mohammed Shah];;;;;;;;;;;;;x
EVTNAME190343;The Death of Abbas Mirza Shah;;;;;;;;;;;;;x
EVTDESC190343;The Shah has died today aged 69. Abbas Mirza was the younger son of Fath-Ali Shah, but on account of his mother's royal birth was destined by his father to succeed him. Abbas was a noted military commander and reformer of the armed forces. Further more he has been characterised as an intelligent prince, possessed some literary taste, and is noteworthy on account of the comparative simplicity of his life. He is succeeded by Naser-Al-Din Shah.;;;;;;;;;;;;;x
EVTNAME190344;The Reuters Concession;;;;;;;;;;;;;x
EVTDESC190344;A concession we granted to a British baron by the name of Julius de Reuter is causing quite a stir among the populace. Under the terms of the concession baron de Reuter has the sole right to exploit all new forests, mines and industry. In exchange building a railroad and providing the treasury with a fixed sum for 5 years plus 60% of net revuenue for 20 years.\nTo the populace this is evidence that the country is slowly being taken over by kafirs, and not just any kind of kafir, but a Jew of all people. This has resulted the ulama to uniting in opposition to the concession. They have succeeded in convincing the people that this concession will bring with it infidels and moral corruption.\nThe Russian Legation has also come out against this concession. Giving such sweeping power to a single person is irreconcilable with their interest, and they will not accept it.\nLastly, the British government has made it know that they cannot support this concession.;;;;;;;;;;;;;x
EVTNAME190345;The Allahdad;;;;;;;;;;;;;x
EVTDESC190345;As Jews are considered najis -ritually unclean- they have never been well liked, not just in $PROVINCENAME$, but throughout the realm. Incidents of bullying and violence against Jews are thus not uncommon. Last night, however, the Jews of $PROVINCENAME$ were subject to an egregious example of communal violence.\n\nAn incident involving dog's blood set in motion a massacre\n-though nobody is quite sure what happened exactly-\nA mob formed which, while the synagogue burned, looted the homes of Jews, with some even taking young girls to marry them. Before the Jewish patriachs managed to restore order, and they only managed that by promising the wholesale conversion of Jews from $PROVINCENAME$ to Islam, 37 Jews were killed.;;;;;;;;;;;;;x
EVTNAME190346;The $YEAR$ Shiraz Blood Libel;;;;;;;;;;;;;x
EVTDESC190346;Jews are considered najis -ritually unclean- and this results in relations betweem them and muslims being tense: It isn't uncommon for random acts of violence targeting Jews to occure. Recent events in Shiraz exceed the normal level animosity by a fair margin though.\nTrouble started when a copy of the Holy Quran was found in cesspool of a Jewish home. Something which can only be considered a clear provocation by the Muslims populace, though some claim it was a veiled women who put it there. The next day a bazaari came forth and claimed his daughter was taken by Jews and killed for her blood. A claim enraging the crowd which made for the Jewish quarter the following day. Yet it were the soldiers who were sent to protect the Jews who were the first to loot.\nLooting lasting for 7 hours, leaving 12 Jews killed, 50 injured and 6000 bereft of property.;;;;;;;;;;;;;x
EVTNAME190347;Tobacco Protests Die Down;;;;;;;;;;;;;x
EVTDESC190347;'Most Persian would rather forego bread than tobacco, and the first thing they would do at the breaking of the fast during the month of Ramadan was to light their pipes.' -European observer\n\nWhen the religious authorities issued a fatwa banning smoking, many happily obliged in an effort to rid the country of the Tobacco Regie and the foreign domination coming with it. However, while most enthusiasticly joined in, as the ban dragged on many found that stopping smoking was more difficult than anticipated. Not only is smoking thoroughly ingrained in Persian culture, it is also terribly addictive. As time wore on slowly people started circumventing the ban and started smoking again. As the fatwa lost influence, so did the hold of the ulama on the people decline. By now few still participate in the protests and most have, begrudgingly, accepted the reality of the Tobacco Regie.;;;;;;;;;;;;;x
EVTNAME190348;Khorasan Rebellion!;;;;;;;;;;;;;x
EVTDESC190348;The junction in time between the end of one rulers reign and the start of anothers is always a period uncertainty: A period of time of seeing whether the authority of the new ruler will be accepted. Here, at the start of Naser al-Din's reign, two noblemen -Hasah Khan Salar and Ja'far Quli Khan Kurd- have raised the banner of insurrection and are attempting to establish their own fief around Mashhad.\n\nHaving raised their own private army of Turkmen tribesmen, the unsuspected citizens of Mashhad invited Hasah Khan Salat and Ja'far Quli into the city with an eye of quelling ongoing riots. Instead of quelling the riots, though, they turned their attention towards the citadel held by the loyal governor. While the citadel held for some time, it was not supplied to sustain a siege. The governor had no option but to retire and leave the city to the rebels!;;;;;;;;;;;;;x
EVTNAME190349;The New Ruler of Herat;;;;;;;;;;;;;x
EVTDESC190349;Said-Mohammed Khan, until now ruler of Herat, has grown increasingly unstable in his personality -some would argue had gone outright insane- leaving his rule increasingly erratic. His deputy Nayed Isa Khan has now declared him unfit to rule and to be fulfilling the will of the people by removing him.\n\nAs Herat is traditionally a dependency of Persia, we as new ruler of Herat are expected to pay homage to Tehran.;;;;;;;;;;;;;x
EVTDESC190350;The ruler of Herat has long been unstable in his personality -some would say outright insane- and his rule had grown increasingly erratic. Proclaiming him unfit to rule and to be fulfilling the will of the people, his deputy Nayeb Isa Khan has seized power in the principality.\n\nThe whole situation is quickly turning into a right old mess. Nayeb Isa may have claimed he was fulfilling the people's wishes by removing Said-Mohammed Khan, but his actions are rapidly turning Herat into a lawless place. What is worse, however, is that Nayeb Isa has, without consulting us, executed Said-Mohammed Khan and appropriated his, and all his family's, property. And if executing the rightful, and loyal, governor of Herat wasn't enough, Nayed Isa has refused to pay homage and pledge his loyalty!;;;;;;;;;;;;;x
EVTDESC190351;The ruler of Herat has long been unstable in his personality -some would say outright insane- and his rule had grown increasingly erratic. Proclaiming him unfit to rule and to be fulfilling the will of the people, his deputy Nayeb Isa Khan has seized power in the principality.\n\nNayed Isa Khan has offered the traditional homage to us, and reaffirmed their position as an appandage to our empire.;;;;;;;;;;;;;x
EVTDESC190352;The situation surrounding the usurption of power is quickly spiraling out of control. Not only is popular sentiment turning against us, the transition of power left a power vacuum which is gratefully exploited by bandits, the $FROMCOUNTRY_ADJ$s are also turning against us. They have not taking kindly to us executing the previous ruler, Said-Mohammed Khan, and refusing to pledge our loyalty.;;;;;;;;;;;;;x
EVTDESC190353;In an effort to make amends for his transgressions against our crown, Nayed Isa Khan has sent his co-conspirator Yusof Mirza to pledge fealty and as a guarantee of loyalty. He also pledges to make amends for the murder of Said-Mohammed.;;;;;;;;;;;;;x
EVTDESC190354;We sent Yusof Mirza, our appointed ruler of Herat, to Tehran to pledge allegiance to Persia and serve as surety for our loyalty. Yet the Persians executed Yusof for conspiring to execute Said-Mohammed, and refused our pledge of allegiance.;;;;;;;;;;;;;x
EVTNAME190355;The Herat Question;;;;;;;;;;;;;x
EVTDESC190355;A change of government took place in Herat recently. The city had been ruled by Said-Mohammed Khan with Persian blessings, but recently he is said to have suffered from bouts of insanity. His rule becoming ever more erratic, his deputy -Nayeb Isa Khan- deposed him. Arguing that was the will of the people to rid them of their insane ruler. However, Herat has always been considered a principality under Persian suzerainty. This change of ruler was not approved by Persia and, what is worse, Nayeb Isa had Said-Mohammed executed and his property confiscated. Such an affront to their honour and authority the Persians could net let slight. They have declared war on Nayeb Isa.\n\nThus far we have considerd this to be an internal matter for the Persians to sort out. However recently we received communications from Nayeb Isa with him begging us to intervene. If we do, he has pledging himself, the principality and the people of Herat to us.;;;;;;;;;;;;;x
EVTDESC190356;Nayeb Isa Khan has secretly aproached $FROMCOUNTRY$ and pledged himself, the principality and the people of Herat to the $FROMCOUNTRY_ADJ$, asking them to take over his principality in exchange for helping to fend off our advance.;;;;;;;;;;;;;x
EVTNAME190358;Kaveh;;;;;;;;;;;;;x
EVTDESC190358;A group of nationalists and intellectuals have gathered around famed diplomat Hassan Taqizadeh with an eye of modernising $COUNTRY$. Heavily influenced by the European enlightenment and constitutionalist thought, they have started a journal to push their agenda. Called 'Kaveh', the journal emphasises the need for national independence and internal reforms, especially secular and educational ones. Topics broached by the journal include the need for strong central authority, the need to control the tribes, equality for women and the need for Western education.;;;;;;;;;;;;;x
EVTNAME190359;The Unveiled Protest;;;;;;;;;;;;;x
EVTDESC190359;According to Islamic law it is forbidden for a women to be in contact with a unrelated male, they are even barely allowed to show themselves to unrelated males. This has left women to spend most of their lives in the private world of the family. So engrained in our culture has this become that a common name for a wife is manzel: 'the home.' Rich or poor, women are confined to, and devote their entire lives to, the family. Unless girls are born into well-to-do families, their birth is less enthusiastically welcomed. In some families it has gotten to the point that it is a nang (social disgrace) to give birth to girls.\nYet women are not some mindless automaton, they have a will and mind of their own. Sensing the opportunities the Constitutional Movement -with its focus on modernising- offers, the women of Tehran have now taken to the streets demanding equal treatment. Most notably, they are removing the veil while shouting 'Long live freedom!';;;;;;;;;;;;;x
EVTNAME190360;The Unveiling;;;;;;;;;;;;;x
EVTDESC190360;'Behind the closed doors at home, prohibted from everything in life, education, training and social life, women are regarded as mindless, like infants: they are confined to the burdens of household work and childbearing and are considered the slaves and servants of their husands.'\nThe position of women in our society is poor to say the least. Forbidden by Islamic law to interact with, or even being seen by, unrelated males, women live a hidden life behind closed doors. On the rare occasions that they do venture out, they do so 'wrapped in black bags from head to the toe without even an opening to breathe.' Yet, it would be a mistake to consider women to be powerless bystanders. From the tobacco protests to the Constitutional Revolution, they have been at the forefront of all public protests in recent history. Yet society does not recognise this. Within our modernising government it has been suggested we liberate women from the veil, or at least in public institutions.;;;;;;;;;;;;;x
EVTNAME190361;Nasim-e Semal;;;;;;;;;;;;;x
EVTDESC190361;A sensational new journal has started publication in the north of the country. Founded by journalist and poet Asraf Gilani, Nasim-e semal deals with the political and social events of the time in a very blunt and occasionally colloquial language, with pointed satirical undertones. It is rapidly building a reputation as one of the best literary works in circulation, and it isn't uncommon for people to recite and even sing Nasm-e semal's poems during parties.\n\nNasim-e semal has become a firm defender of the cause of the impoverished, a staunch advocate of social and political reforms and modernization, and a vocal admirer of Islam, particularly Shi'ism; it is also very patriotic, and a zealous supporter of the Constitutional Movement and the constitutional revolutionaries.;;;;;;;;;;;;;x
EVTNAME190362;Molla Nasreddin;;;;;;;;;;;;;x
EVTDESC190362;A new satirical journal has been set up in $PROVINCENAME$ and has turned in quite the hit among our Muslim subjects. The journal is named after Molla Nasreddin a 13th century cleric who had a nack for telling amusing tales and anecdotes. The journal, however, is more than just a collection of amusing tales and anecdotes. It is a poignant satire of the clergy and the establishmen and is more than happy to expose its corruption. But more than that, the paper is a call to modernise and accept more advanced Western social norms and practises. It viciously attacks what it preceives to be the backward lifestyles and values of the Islamic clergy and religious fanatics.\nBeing richly illustrated it is not only accessable to the literate elite, but has also become an hit among the lower -illiterate- classes.;;;;;;;;;;;;;x
EVTDESC190363;Published in Tiflis and smuggled across the $FROMCOUNTRY_ADJ$ border, Molla Nasreddin is a satirical journal which is rapidly gaining a following in our country. Combining poetry with beautiful illustrations, the journal is not only read by the literate classes but also by the illiterate peasants. All to the chagrin of the ulama. Molla Nasreddin likes nothing more than taking jabs at the ulama's preceived backward lifestyle and values. Contrasting their fanaticism with the enlightend values of the West, the journal calls upon all to throw off the shackles of superstition and adopt advanced Western social normes and practises.\nBut more than an advocate of Westernisation, Molla Nasreddin is a fierce opponent of absolutism and imperialism. It vicously attacks our Qajar dynasty for it corruption and foreign influence, which leaves many starving and the country's natural wealth in the hands of foreigners.;;;;;;;;;;;;;x
EVTDESC190364;Published in Tiflis and smuggled into the country from $FROMCOUNTRY$, Molla Nasreddin is a satirical journal which is rapidly gaining a following in our country. Combining poetry with beautiful illustrations, the journal is not only read by the literate classes but also by the illiterate peasants. All to the chagrin of the clergy. Molla Nasreddin likes nothing more than taking jabs at the clergy's preceived backward lifestyle and values. Contrasting their fanaticism with the enlightend values of the West, the journal calls upon all to throw off the shackles of superstition and adopt advanced Western social normes and practises.\nMolla Nasreddin attacks the hypocrisy of the Muslim clergy, the colonial policies of the US and European nations towards the rest of the world, and the venal corruption of the local elite, while arguing repeatedly for Westernization, educational reform, and equal rights for women.;;;;;;;;;;;;;x
EVTNAME190365;Merchant Councils;;;;;;;;;;;;;x
EVTDESC190365;With the growth in foreign trade slowly the tojjar -the prominent merchants- have become the dominant economic players, and not the patrimonial government agents. However power by far and large still resides with the old elites who are thoroughly uninterested in economic reform, and would rather enrich themselves at the expense of the tojjar. We've been approached by a small group of tojjar who are demanding the removal of the ineffective and corrupt Minister of Commerce and replace him with a religious, unbiased and not avaricious official. Futhermore they are demanding we install merchants' assemblies in prominent cities and ports to represent the merchants interests and settle matters of commercial disputes, while promoting commerce and protecting merchants from foreign competition.\nThe old elites, however, feeling threatend in their position, have allied with the the ulama in opposition to the formation of these merchant councils.;;;;;;;;;;;;;x
EVTNAME190366;The Power of the Ulama;;;;;;;;;;;;;x
EVTDESC190366;With the fall of the Safavid dynasty the ulama saw a chance to strengthen its authority. Sharia courts, teachers, priests, even politicians, all rely on the ulama for their position.\n While some may argue that this has provided security and stability in these times of trouble, others have argued that the ulama obstructs modernisation and as such is complicit in the weakend state our empire finds itself. One of the greatest opponents of the ulama is prime-minister Amir Kabir. Who, while working for the border committee insituted by the Second Treaty of Erzurum, closely followed the Tanzimat reforms of the Ottoman Empire and came to the conclusion that the only to modernise and strengthen the empire is by limiting the power and influence of the ulama.\nHe has now proposed measures just to this effect. While it will limit the power of the ulama, expect them to fight it tooth and nail first.;;;;;;;;;;;;;x
EVTNAME190367;The Rise of the Anjoman;;;;;;;;;;;;;x
EVTDESC190367;Our reign has seen the rise of te anjoman: secret societies formed by reformist intellectuals, government officials, bazaari and ulama with a purpose of promoting their modernisation agenda. The most famous of these is the Faramus-kana: a society founded by Mirza Malkom Khan inspired by the Freemasons of the West. But where the anjoman find fertile ground for growth among the more reform minded classes -and are slowly readying the minds of the general populace for change- the ulama is less than enthusiastic of their ideas. In their eyes many of the anjoman serve to spread corrupt ideas, shelter infidels, promote harmony between Muslims and non-Muslims, and, above all, constitute religious innovation contrary to Islamic precepts. As a result, the ulama is demanding we shut down the anjoman whereever we find them, the Faramus-kana foremost among them.;;;;;;;;;;;;;x
EVTNEWS190300_title;The New Faith;;;;;;;;;;;;;x
EVTNEWS190300_short;A new faith is rapidly gaining ground in Persia. Promulgated by a man calling himself 'the Bab', it proclaims that the Qa'im, the redeemer, has arrived on Earth.;;;;;;;;;;;;;x
EVTNEWS190300_medium;Proclaiming that the Qa'im, the Redeemer, has returned to Earth, the 'Bab's' teachings are rapidly gaining ground in Persia. Claiming divine inspiration, the Bab has set about renewing and reinterpreting the Shia faith of Persia, much to the chagrin of the conservative clergy.;;;;;;;;;;;;;x
EVTNEWS190300_long;Claiming that he is the gateway to the Qa'im, redeemer of the world, the so called Bab is rapidly gaining followers for his radical new take on the Islamic faith. Doing away with old certainties and replacing them with new interpretations, much to the chagrin of the conservative clergy. The Bab is so far removed from the established faith that the ulama have now called upon the Shah to try him for apostasy, a crime which carries the death penalty.;;;;;;;;;;;;;x
EVTNEWS190340_short;After a failed assassination attempt on the Shah of Persia, dozens of Babi converts were brutally executed while many more have disappeared into the deep dungeons.;;;;;;;;;;;;;x
EVTNEWS190340_medium;After a failed assassination attempt while out hunting, the Shah of Persia has unleashed his wrath on those of the Babi faith responsible. Dozens have been executed in the most gruesome way imaginable while hundreds more have disappeared into the deep dungeons.;;;;;;;;;;;;;x
EVTNEWS190340_long;Following a failed assassination attempt while out hunting partridges, the Shah of Persia has unleashed his faith community of those responsible: the Babi's. The brutal crackdown has resulted in dozens being executing by the most heinous of methods, a few by the methoed of sham'ajin - holes drilled into his body to hold candles in a celebration of the Shah's survival before being cleaved in half - while many more have been relegated to the darkest dungeons.;;;;;;;;;;;;;x
EVTNEWS190309_title;Persian Tobacco Monopoly;;;;;;;;;;;;;x
EVTNEWS190309_short;Led by religious clergy and the merchant classes, Persia is experiencing a popular uprising against the Tobacco Regie: The foreign owner tobacco monopoly.;;;;;;;;;;;;;x
EVTNEWS190309_medium;A popular uprising in Persia against the foreign owned Tobacco Regie which has monopolised the market. Despite a recent arrival to Persia, it has become thoroughly ingrained in local culture. The protests hope to compel the abolition of the Regie.;;;;;;;;;;;;;x
EVTNEWS190309_long;Persian clergy have interdicted the use of tobacco, with the view of compelling the abolition of the Tobacco Regie, regarding exports as wel as interiour trade. They also clamour for the expulsion of the members of the tobacco corporation. Yesterday a riotous mob assambled at the Shah's palace to demand satisfaction. The Shah's son, also minister of war, failt to pacify the mob, en a detachment of troops was then ordered to disperse the rioters. Several persons were killed in the encounter. The feeling of alarm is yet to subside.;;;;;;;;;;;;;x
EVTNEWS190319_short;Two years of drought have conspired to cause a terrible famine in $COUNTRY$. As bread prices increase many fold, the populace is left starving.;;;;;;;;;;;;;x
EVTNEWS190319_medium;Two years of drought have conspired to cause a terrible famine in $COUNTRY$. As bread prices increase many fold, the desperate populace is left eating cats, dogs, rats or grass. Either that or face starvation.;;;;;;;;;;;;;x
EVTNEWS190319_long;Two years of drought have conspired to cause a terrible famine in $COUNTRY$. As bread prices doubled in Tehran and increased many fold in the country side, the population is left eating cats, dogs, rats, or grass. All the while the rich landowners hoard their grain supply, even purposely disrupt relieve supplies, to increase the value of their stock. Even the profitable grain shipments to India haven't been halted. And all the while the poor populace starves to death.;;;;;;;;;;;;;x
EVTNEWS190322_title;A New Religion from India;;;;;;;;;;;;;x
EVTNEWS190322_short;A new religious movement has emerged in India. Founded when Mirza Ghulam Ahmad proclaimed himself the renewer of the Islamic faith. The Ahmaddiyya now believe him to be messiah.;;;;;;;;;;;;;x
EVTNEWS190322_medium;A new religious movement is gaining ground in India. Founded when Mirza Ghulam Ahmad proclaimed himself the renewer of the Islamic faith. The Ahmaddiyya now believe him to be Messiah. The Indian religious authorities are less than impressed of his claims.;;;;;;;;;;;;;x
EVTNEWS190322_long;A new religious movement is gaining ground in India. Founded by Mirza Ghulam Ahmad when he proclaimed himself the promised -once a century- renewer of the Islamic faith. However his followers, the Ahmaddiyya, have now come to believe that he is the Islamic Mahdi, the promised Messiah, sent to rid the world of evil. The Indian religious authorities are, however, less than impressed of his claims. They have proclaimed his believes beliefs blasphemous and tantamount to apostasy.;;;;;;;;;;;;;x
EVTNEWS190359_short;The women in Tehran have taken to the streets protesting their unequal treatment. In protest they have taken off the veil, the item of clothing making them invisible in normal life.;;;;;;;;;;;;;x
EVTNEWS190359_medium;The women of $COUNTRY$ have long been relegated to secondary citizen status by Islamic tradition. Protesting their treatment, the women of Tehran have taken to the streets and removed the veil: the Islamic item of clothing symbolising their oppression.;;;;;;;;;;;;;x
EVTNEWS190359_long;Under Islamic law it is forbidden for women to interact with, or be seen by, unrelated males. This has reduced the domain of Muslim women to that of the home, while on the streets they are forced to wrap themselves 'in black bags from head to the toe without even an opening to breathe.' Protesting their unequal treatment, the women of Tehran have now taken to the streets and removed the veil: the symbol of their oppression.;;;;;;;;;;;;;x
